system:index,area,class,co_mun,year,.geo
0_00000000000000000387_0_0,599925.5681998103,0,5103007.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000387_0_1,25530.890686220886,39,5103007.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000389_0_0,1652617.7019229042,0,5103106.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000389_0_1,108.89850278930668,39,5103106.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000038a_0_0,308143.6569534717,0,5103205.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000038a_0_1,1060.1310276062716,39,5103205.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000038c_0_0,2140764.1104114917,0,5103304.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000038c_0_1,35398.088270618195,39,5103304.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000038d_0_0,572363.1748070484,0,5103353.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000038d_0_1,7617.071968776891,39,5103353.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000394_0_0,183386.54708027391,0,5103601.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000394_0_1,36932.918023134174,39,5103601.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000395_0_0,1075299.790794255,0,5103700.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000395_0_1,70605.24106109556,39,5103700.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000398_0_0,315816.2054178552,0,5103908.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000398_0_1,63503.557485992416,39,5103908.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039a_0_0,472193.8985199471,0,5104104.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039a_0_1,1154.5390660162202,39,5104104.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039b_0_0,453709.7766789325,0,5104203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039b_0_1,52248.239763589525,39,5104203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039f_0_0,430187.4306448355,0,5104559.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039f_0_1,22611.965451404034,39,5104559.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a1_0_0,129654.65948746243,0,5104807.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a1_0_1,35616.01539293451,39,5104807.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a2_0_0,101778.12002100414,0,5104906.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a2_0_1,8.541872113037117,39,5104906.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a4_0_0,2262477.8902525855,0,5105101.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a4_0_1,1303.1973236643832,39,5105101.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a5_0_0,2618583.821747767,0,5105150.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a5_0_1,23.072502176776958,39,5105150.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a7_0_0,197117.28358128906,0,5105200.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000003a7_0_1,23386.637174790576,39,5105200.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
