"";"co_mun";"nm_mun";"co_state";"nm_state";"area_plant";"area_harv";"prod_bean";"exp_bean";"exp_bean_d";"exp_oil";"exp_oil_d";"exp_cake";"exp_cake_d";"imp_bean";"imp_bean_d";"imp_oil";"imp_oil_d";"imp_cake";"imp_cake_d";"proc_fac";"proc_cap";"ref_fac";"ref_cap";"bot_cap";"population";"cattle";"cattle_milked";"buffalo";"horse";"pig";"pig_mother";"goat";"sheep";"chicken";"chicken_layer";"quail";"storage_cap"
"110";1302504;"MANACAPURU";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91795;21326;3521;680;260;631;179;160;1040;93700;75700;0;4538
"111";1302553;"MANAQUIRI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26530;10852;580;179;0;110;30;0;360;7400;1500;0;0
"112";1302603;"MANAUS";13;"AM";0;0;0;0;0;0;0;1661,691;999663;0;0;0;0;0;0;0;0;0;0;0;1982177;6178;1525;770;218;3126;605;605;4899;2380000;1945000;15000;2618
"113";1302702;"MANICORÉ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51331;105820;2640;140;68;3000;420;1050;956;80000;18100;0;0
"114";1302801;"MARAÃ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18310;797;0;288;5;98;37;21;86;28000;9750;0;0
"115";1302900;"MAUÉS";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57663;17102;1730;670;0;402;158;302;638;100080;20600;0;0
"116";1303007;"NHAMUNDÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19792;41831;369;5076;1463;2632;930;682;3502;2160;1125;0;0
"117";1303106;"NOVA OLINDA DO NORTE";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33829;8580;1500;860;54;340;78;180;300;7500;2900;0;0
"118";1303205;"NOVO AIRÃO";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16719;640;80;0;65;250;31;30;50;14500;750;0;0
"119";1303304;"NOVO ARIPUANÃ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23486;15100;1100;22;109;330;90;116;126;21000;9400;0;0
"120";1303403;"PARINTINS";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109225;124151;22000;13986;1742;7100;2780;4200;5224;86200;43150;0;4088
"121";1303502;"PAUINI";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19149;11200;840;5;84;650;158;48;202;19600;7500;0;0
"122";1303536;"PRESIDENTE FIGUEIREDO";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30978;14500;640;365;215;580;135;573;2455;26000;11000;0;0
"123";1303569;"RIO PRETO DA EVA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28999;2281;300;0;170;5636;850;250;2350;63700;56000;0;0
"124";1303601;"SANTA ISABEL DO RIO NEGRO";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20986;299;18;22;9;196;49;8;78;3500;2050;0;0
"125";1303700;"SANTO ANTÔNIO DO IÇÁ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24327;1400;270;75;40;350;150;0;500;10000;6000;0;0
"126";1303809;"SÃO GABRIEL DA CACHOEIRA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41575;120;10;14;12;80;20;70;20;12000;3000;0;0
"127";1303908;"SÃO PAULO DE OLIVENÇA";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34963;523;50;24;15;100;54;0;130;20000;15000;0;0
"128";1303957;"SÃO SEBASTIÃO DO UATUMÃ";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12115;14000;260;249;47;100;57;43;53;3800;1000;0;0
"129";1304005;"SILVES";13;"AM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8946;11715;1800;569;180;1895;601;275;540;12000;4620;0;0
